"","City","State","Avg.Salary","Avg.Sal.Index","Local.Purchasing.Power","Regional.Price.Parity","LPP.Index","Rent.Index","lat","lng","City.Category"
"1","Akron","OH",49008,102.5,54453,90,113.9,76.8,41.08144,-81.51901,"Avg CP,
Low DS"
"2","Albany","NY",51546,107.8,51341,100.4,107.4,105.1,42.65258,-73.75623,"Low-Avg CP,
High DS"
"3","Albuquerque","NM",40369,84.4,41920,96.3,87.6,90.1,35.08449,-106.65114,"Lowest CP,
Avg DS"
"4","Ann Arbor","MI",51508,107.7,50597,101.8,105.8,114,42.27756,-83.74088,"Low-Avg CP,
High DS"
"5","Arlington","TX",49923,104.4,49823,100.2,104.2,103.2,32.73569,-97.10807,"Low-Avg CP,
High DS"
"6","Arlington","VA",54683,114.4,45914,119.1,96.1,166.4,38.88101,-77.10428,"Lowest-Low CP,
High DS"
"7","Asheville","NC",43528,91,47006,92.6,98.3,87,35.60095,-82.55402,"Low CP,
Avg DS"
"8","Athens","GA",39732,83.1,43758,90.8,91.5,77.7,33.96095,-83.37794,"Low CP,
Low DS"
"9","Atlanta","GA",48007,100.4,49852,96.3,104.3,93.5,33.749,-84.38798,"Low CP,
Avg DS"
"10","Augusta","GA",42573,89.1,48214,88.3,100.9,68.7,33.47097,-81.97484,"Low CP,
Low DS"
"11","Austin","TX",51110,106.9,51110,100,106.9,117.2,30.26715,-97.74306,"Low-Avg CP,
High DS"
"12","Bakersfield","CA",37770,79,39059,96.7,81.7,91.7,35.37329,-119.01871,"Lowest CP,
Avg DS"
"13","Baltimore","MD",51979,108.7,48488,107.2,101.4,116,39.29038,-76.61219,"Low-Avg CP,
High DS"
"14","Bellevue","WA",57630,120.5,52154,110.5,109,134,47.61038,-122.20068,"Avg CP,
High DS"
"15","Bellingham","WA",43394,90.8,43656,99.4,91.3,103.7,48.75955,-122.48822,"Lowest CP,
Avg DS"
"16","Berkeley","CA",66920,140,53665,124.7,112.3,190.9,37.87159,-122.27275,"Avg CP,
Highest DS"
"17","Birmingham","AL",50127,104.9,56449,88.8,118.1,68.8,33.52066,-86.80249,"High CP,
Low DS"
"18","Bloomington","IN",38988,81.6,41609,93.7,87.1,89.1,39.16533,-86.52639,"Lowest CP,
Avg DS"
"19","Boise","ID",42962,89.9,45319,94.8,94.8,83.3,43.6135,-116.20345,"Low CP,
Low DS"
"20","Boston","MA",61917,129.5,55731,111.1,116.6,141,42.35843,-71.05977,"Avg CP,
High DS"
"21","Boulder","CO",57756,120.8,53036,108.9,110.9,144.5,40.01499,-105.27055,"Avg CP,
High DS"
"22","Brooklyn","NY",53197,111.3,43604,122,91.2,154.9,40.6501,-73.94958,"Lowest-Low CP,
High DS"
"23","Buffalo","NY",47247,98.8,50050,94.4,104.7,78.2,42.88645,-78.87837,"Low CP,
Low DS"
"24","Burlington","VT",50024,104.6,47824,104.6,100,126.3,44.47588,-73.21207,"Low-Avg CP,
High DS"
"25","Charleston","SC",46408,97.1,48241,96.2,100.9,97.6,32.77657,-79.93092,"Low CP,
Avg DS"
"26","Charlotte","NC",49493,103.5,52934,93.5,110.7,86.5,35.22709,-80.84313,"Avg CP,
Low DS"
"27","Chattanooga","TN",46505,97.3,52077,89.3,109,70.8,35.04563,-85.30968,"Avg CP,
Low DS"
"28","Chicago","IL",52345,109.5,50429,103.8,105.5,114.8,41.85003,-87.65005,"Low-Avg CP,
High DS"
"29","Cincinnati","OH",53680,112.3,59911,89.6,125.3,78.7,39.12711,-84.51439,"High CP,
Low DS"
"30","Cleveland","OH",53274,111.4,59062,90.2,123.5,77.9,41.4995,-81.69541,"High CP,
Low DS"
"31","College Station","TX",37821,79.1,40537,93.3,84.8,87.4,30.62798,-96.33441,"Lowest CP,
Avg DS"
"32","Colorado Springs","CO",43688,91.4,43863,99.6,91.8,104.8,38.83388,-104.82136,"Lowest CP,
Avg DS"
"33","Columbia","SC",44138,92.3,48081,91.8,100.5,80.4,34.00071,-81.03481,"Low CP,
Low DS"
"34","Columbus","OH",49999,104.6,53762,93,112.5,84.2,39.96118,-82.99879,"Avg CP,
Low DS"
"35","Dallas","TX",49923,104.4,49823,100.2,104.2,103.2,32.78306,-96.80667,"Low-Avg CP,
High DS"
"36","Dayton","OH",47179,98.7,52421,90,109.7,72.1,39.75895,-84.19161,"Avg CP,
Low DS"
"37","Denver","CO",51662,108.1,48738,106,102,127.9,39.73915,-104.9847,"Low-Avg CP,
High DS"
"38","Des Moines","IA",52310,109.4,55354,94.5,115.8,90.6,41.60054,-93.60911,"Avg CP,
Avg DS"
"39","Detroit","MI",49479,103.5,51594,95.9,107.9,86.7,42.33143,-83.04575,"Avg CP,
Low DS"
"40","Durham","NC",51337,107.4,53925,95.2,112.8,93.3,35.99403,-78.89862,"Avg CP,
Avg DS"
"41","Eugene","OR",41681,87.2,42619,97.8,89.2,96.6,44.05207,-123.08675,"Lowest CP,
Avg DS"
"42","Everett","WA",46849,98,47854,97.9,100.1,100.8,47.97898,-122.20208,"Low CP,
Avg DS"
"43","Fayetteville","AR",62271,130.3,69577,89.5,145.6,70.3,36.06258,-94.15743,"Highest CP,
Low DS"
"44","Fort Collins","CO",45732,95.7,44879,101.9,93.9,117.7,40.58526,-105.08442,"Lowest-Low CP,
High DS"
"45","Fort Lauderdale","FL",46295,96.8,43025,107.6,90,129.4,26.12231,-80.14338,"Lowest-Low CP,
High DS"
"46","Fort Myers","FL",48525,101.5,50600,95.9,105.8,96.3,26.62168,-81.84059,"Low CP,
Avg DS"
"47","Fort Wayne","IN",45774,95.7,50917,89.9,106.5,70,41.1306,-85.12886,"Avg CP,
Low DS"
"48","Fort Worth","TX",49923,104.4,49823,100.2,104.2,103.2,32.72541,-97.32085,"Low-Avg CP,
High DS"
"49","Fresno","CA",40309,84.3,41858,96.3,87.5,90.1,36.74773,-119.77237,"Lowest CP,
Avg DS"
"50","Grand Rapids","MI",48851,102.2,52247,93.5,109.3,87,42.96336,-85.66809,"Avg CP,
Low DS"
"51","Greensboro","NC",43798,91.6,48773,89.8,102,72.6,36.07264,-79.79198,"Low CP,
Low DS"
"52","Greenville","SC",44007,92.1,49115,89.6,102.8,72,34.85262,-82.39401,"Low CP,
Low DS"
"53","Harrisburg","PA",47955,100.3,49643,96.6,103.8,87.7,40.2737,-76.88442,"Low CP,
Avg DS"
"54","Hartford","CT",56914,119,56073,101.5,117.2,109.3,41.76371,-72.68509,"Avg CP,
Avg DS"
"55","Houston","TX",48692,101.9,47925,101.6,100.3,103.2,29.76328,-95.36327,"Low CP,
Avg DS"
"56","Huntsville","AL",49918,104.4,55837,89.4,116.8,68.3,34.7304,-86.58594,"High CP,
Low DS"
"57","Indianapolis","IN",52830,110.5,56929,92.8,119.1,83,39.76838,-86.15804,"High CP,
Low DS"
"58","Irvine","CA",47793,100,40606,117.7,85,165.4,33.66946,-117.82311,"Lowest-Low CP,
High DS"
"59","Jacksonville","FL",46299,96.8,48329,95.8,101,95.8,30.33218,-81.65565,"Low CP,
Avg DS"
"60","Jersey City","NJ",53197,111.3,43604,122,91.2,154.9,40.72816,-74.07764,"Lowest-Low CP,
High DS"
"61","Kansas City","MO",51224,107.1,54668,93.7,114.3,82.4,39.09973,-94.57857,"Avg CP,
Low DS"
"62","Knoxville","TN",46417,97.1,52449,88.5,109.7,68.6,35.96064,-83.92074,"Avg CP,
Low DS"
"63","Las Vegas","NV",42455,88.8,43410,97.8,90.8,96.5,36.17497,-115.13722,"Lowest CP,
Avg DS"
"64","Lexington","KY",47221,98.8,51721,91.3,108.2,76.4,37.98869,-84.47772,"Avg CP,
Low DS"
"65","Lincoln","NE",47793,100,51668,92.5,108.1,81.5,40.8,-96.66696,"Avg CP,
Low DS"
"66","Little Rock","AR",45527,95.2,50306,90.5,105.2,74.1,34.74648,-92.28959,"Avg CP,
Low DS"
"67","Long Beach","CA",47793,100,40606,117.7,85,165.4,33.88638,-118.04535,"Lowest-Low CP,
High DS"
"68","Los Angeles","CA",47793,100,40606,117.7,85,165.4,34.05223,-118.24368,"Lowest-Low CP,
High DS"
"69","Louisville","KY",48779,102,53603,91,112.1,75.8,38.25424,-85.75941,"Avg CP,
Low DS"
"70","Lubbock","TX",41326,86.4,44341,93.2,92.7,85.5,33.57786,-101.85517,"Low CP,
Low DS"
"71","Madison","WI",53934,112.8,55204,97.7,115.5,108.6,43.07305,-89.40123,"Avg CP,
Avg DS"
"72","Manchester","NH",51071,106.8,47070,108.5,98.4,126,42.99564,-71.45479,"Low-Avg CP,
High DS"
"73","Melbourne","FL",42462,88.8,44416,95.6,92.9,94.9,28.08363,-80.60811,"Lowest CP,
Avg DS"
"74","Memphis","TN",46344,96.9,50927,91,106.5,76.7,35.14953,-90.04898,"Avg CP,
Low DS"
"75","Miami","FL",46295,96.8,43025,107.6,90,129.4,25.77427,-80.19366,"Lowest-Low CP,
High DS"
"76","Milwaukee","WI",52762,110.4,55190,95.6,115.5,95.1,43.0389,-87.90647,"Avg CP,
Avg DS"
"77","Minneapolis","MN",54478,114,53253,102.3,111.4,110.1,44.97997,-93.26384,"Low-Avg CP,
High DS"
"78","Mobile","AL",39895,83.5,45646,87.4,95.5,65.4,30.69436,-88.04305,"Low CP,
Low DS"
"79","Nashville","TN",54788,114.6,58038,94.4,121.4,90.3,36.16589,-86.78444,"High CP,
Low DS"
"80","New Haven","CT",45448,95.1,40797,111.4,85.4,113.6,41.30815,-72.92816,"Lowest CP,
Avg DS"
"81","New Orleans","LA",48618,101.7,51069,95.2,106.8,93.8,29.95465,-90.07507,"Low CP,
Avg DS"
"82","New York","NY",53197,111.3,43604,122,91.2,154.9,40.71427,-74.00597,"Lowest-Low CP,
High DS"
"83","Newark","NJ",53197,111.3,43604,122,91.2,154.9,40.73566,-74.17237,"Lowest-Low CP,
High DS"
"84","Norfolk","VA",46286,96.8,47279,97.9,98.9,104.9,36.84681,-76.28522,"Low CP,
Avg DS"
"85","Oakland","CA",66920,140,53665,124.7,112.3,190.9,37.80437,-122.2708,"Avg CP,
Highest DS"
"86","Oklahoma City","OK",47086,98.5,51404,91.6,107.5,78.3,35.46756,-97.51643,"Avg CP,
Low DS"
"87","Olympia","WA",42425,88.7,39687,106.9,83,112.9,47.03787,-122.9007,"Lowest CP,
Avg DS"
"88","Omaha","NE",54979,115,58864,93.4,123.1,85.9,41.25626,-95.94043,"High CP,
Low DS"
"89","Orlando","FL",39496,82.6,40302,98,84.3,104.8,28.53834,-81.37924,"Lowest CP,
Avg DS"
"90","Pensacola","FL",42333,88.5,45865,92.3,95.9,82.8,30.42131,-87.21691,"Low CP,
Low DS"
"91","Philadelphia","PA",54398,113.8,51367,105.9,107.5,111.3,39.95233,-75.16379,"Low-Avg CP,
High DS"
"92","Phoenix","AZ",42218,88.3,43479,97.1,90.9,97.7,33.44838,-112.07404,"Lowest CP,
Avg DS"
"93","Pittsburgh","PA",52856,110.6,56051,94.3,117.3,78.9,40.44062,-79.99589,"High CP,
Low DS"
"94","Plano","TX",49923,104.4,49823,100.2,104.2,103.2,33.01984,-96.69889,"Low-Avg CP,
High DS"
"95","Portland","ME",49750,104.1,48918,101.7,102.4,109.3,43.66147,-70.25533,"Low-Avg CP,
High DS"
"96","Portland","OR",48929,102.3,48111,101.7,100.6,117.7,45.52345,-122.67621,"Low-Avg CP,
High DS"
"97","Queens","NY",53197,111.3,43604,122,91.2,154.9,40.68149,-73.83652,"Lowest-Low CP,
High DS"
"98","Raleigh","NC",51319,107.3,53513,95.9,111.9,96.1,35.7721,-78.63861,"Avg CP,
Avg DS"
"99","Reno","NV",50845,106.4,51515,98.7,107.8,100.9,39.52963,-119.8138,"Low-Avg CP,
High DS"
"100","Richmond","VA",52778,110.4,54920,96.1,114.9,97.7,37.55376,-77.46026,"Avg CP,
Avg DS"
"101","Rochester","NY",46260,96.8,47204,98,98.8,93.7,43.15478,-77.61556,"Low CP,
Avg DS"
"102","Rockville","MD",54683,114.4,45914,119.1,96.1,166.4,39.084,-77.15276,"Lowest-Low CP,
High DS"
"103","Sacramento","CA",49457,103.5,48487,102,101.5,117.6,38.58157,-121.4944,"Low-Avg CP,
High DS"
"104","Saint Louis","MO",53820,112.6,59273,90.8,124,82.7,38.62727,-90.19789,"High CP,
Low DS"
"105","Saint Paul","MN",54478,114,53253,102.3,111.4,110.1,44.94441,-93.09327,"Low-Avg CP,
High DS"
"106","Saint Petersburg","FL",42583,89.1,42668,99.8,89.3,103.5,27.77086,-82.67927,"Lowest CP,
Avg DS"
"107","Salem","OR",39701,83,41398,95.9,86.5,87.6,44.9429,-123.0351,"Lowest CP,
Avg DS"
"108","Salt Lake City","UT",45831,95.9,46108,99.4,96.5,104.2,40.76078,-111.89105,"Low CP,
Avg DS"
"109","San Antonio","TX",44777,93.7,47433,94.4,99.3,90.2,29.42412,-98.49363,"Low CP,
Avg DS"
"110","San Diego","CA",46589,97.5,40059,116.3,83.8,167.6,32.71571,-117.16472,"Lowest-Low CP,
High DS"
"111","San Francisco","CA",66920,140,53665,124.7,112.3,190.9,37.77493,-122.41942,"Avg CP,
Highest DS"
"112","San Jose","CA",69016,144.4,54301,127.1,113.6,213.3,37.33939,-121.89496,"Avg CP,
Highest DS"
"113","Santa Barbara","CA",50259,105.1,45899,109.5,96,167.5,34.42083,-119.69819,"Lowest-Low CP,
High DS"
"114","Santa Rosa","CA",45697,95.6,37766,121,79,156.1,38.44047,-122.71443,"Lowest-Low CP,
High DS"
"115","Seattle","WA",57630,120.5,52154,110.5,109,134,47.60621,-122.33207,"Avg CP,
High DS"
"116","Shreveport","LA",45697,95.6,50831,89.9,106.3,72.8,32.52515,-93.75018,"Avg CP,
Low DS"
"117","Sioux Falls","SD",58430,122.2,63236,92.4,132.3,81.2,43.54997,-96.70033,"Highest CP,
Low DS"
"118","Spokane","WA",42527,89,44671,95.2,93.5,85,47.65966,-117.42908,"Low CP,
Low DS"
"119","Springfield","MO",41597,87,47377,87.8,99.1,66.6,37.21533,-93.29824,"Low CP,
Low DS"
"120","Syracuse","NY",45230,94.6,46774,96.7,97.8,88,43.04812,-76.14742,"Low CP,
Avg DS"
"121","Tacoma","WA",57630,120.5,52154,110.5,109,134,47.60014,-122.3283,"Avg CP,
High DS"
"122","Tampa","FL",42583,89.1,42668,99.8,89.3,103.5,27.94752,-82.45843,"Lowest CP,
Avg DS"
"123","Tucson","AZ",40198,84.1,41960,95.8,87.8,87.9,32.22174,-110.92648,"Lowest CP,
Avg DS"
"124","Tulsa","OK",51359,107.4,56625,90.7,118.4,74.4,36.15398,-95.99277,"High CP,
Low DS"
"125","Vancouver","WA",48929,102.3,48111,101.7,100.6,117.7,45.63873,-122.66149,"Low-Avg CP,
High DS"
"126","Virginia Beach","VA",46286,96.8,47279,97.9,98.9,104.9,36.85293,-75.97799,"Low CP,
Avg DS"
"127","Washington","DC",54683,114.4,45914,119.1,96.1,166.4,38.89511,-77.03637,"Lowest-Low CP,
High DS"
"128","West Palm Beach","FL",46295,96.8,43025,107.6,90,129.4,26.71534,-80.05337,"Lowest-Low CP,
High DS"
"129","Wichita","KS",49977,104.5,55407,90.2,115.9,72,37.69224,-97.33754,"High CP,
Low DS"
"130","Winston-salem","NC",45136,94.4,50715,89,106.1,68.6,36.09986,-80.24422,"Avg CP,
Low DS"
