City,State,ELEV_M,TEMP,HI,RH,WDSP,PRCP,MAX,MIN,I_FOG,I_RAIN_DRIZZLE,I_SNOW_ICE,I_HAIL,I_THUNDER,I_TORNADO_FUNNEL,Season
Akron,OH,206,29.57673130193906,29.246537396121884,75.49861495844875,4.29196675900277,2.0844875346260388,71.96,-11.02,25,41,68,0,3,0,Winter
Albany,NY,111.3,31.00725761772853,30.526315789473685,66.80415512465375,2.880886426592798,2.4335180055401664,75.02,-13,61,102,104,0,0,0,Winter
Albuquerque,NM,2159.8,36.01684210526316,34.72299168975069,51.682271468144044,5.798891966759003,0.542382271468144,69.98,-0.4,37,35,63,0,0,0,Winter
Ann Arbor,MI,206,29.338891966759004,28.98337950138504,74.34653739612189,4.227700831024931,1.5229916897506925,69.08,-11.02,28,36,55,0,1,0,Winter
Arlington,TX,228.3,48.918005540166206,47.41551246537396,66.83739612188366,3.4886426592797783,2.419667590027701,84.92,6.98,40,103,11,0,21,0,Winter
Arlington,VA,2,38.81556786703601,37.93905817174515,64.85595567867036,2.2047091412742383,2.6817174515235456,82.94,-9.04,41,87,48,0,4,0,Winter
Asheville,NC,358.1,42.76360110803324,41.38504155124654,62.777562326869806,2.0941828254847645,3.037950138504155,82.94,5,73,109,19,0,3,0,Winter
Athens,GA,232.6,47.51041551246537,46.26869806094183,70.13047091412743,2.11191135734072,4.378670360110803,80.96,8.96,37,131,8,0,12,0,Winter
Atlanta,GA,232.6,47.51041551246537,46.26869806094183,70.13047091412743,2.11191135734072,4.378670360110803,80.96,8.96,37,131,8,0,12,0,Winter
Augusta,GA,14,53.05800554016621,51.70914127423823,67.84542936288089,3.078393351800554,3.082825484764543,87.08,19.04,78,121,2,0,12,0,Winter
Austin,TX,152.4,54.152963988919666,52.634349030470915,65.5628808864266,3.9254847645429365,1.7587257617728531,91.94,15.98,66,125,6,0,17,0,Winter
Bakersfield,CA,54.6,58.97656509695291,57.21052631578947,55.96897506925208,0.8645429362880886,2.1329639889196677,89.96,35.06,21,68,0,0,0,0,Winter
Baltimore,MD,2,35.70171745152354,35.05263157894737,68.12465373961219,2.3994459833795014,1.9119113573407203,77,-4,34,72,42,0,2,0,Winter
Bellevue,WA,15,43.3021052631579,41.97783933518006,80.13905817174515,4.72797783933518,2.052354570637119,62.96,21.92,26,102,6,0,0,0,Winter
Bellingham,WA,15,38.26559556786704,37.24653739612188,80.56592797783934,3.852354570637119,1.8285318559556787,62.96,-21.64,26,102,6,0,0,0,Winter
Berkeley,CA,37.2,48.68365650969529,47.0775623268698,77.66675900277008,2.3149584487534627,1.2977839335180055,78.8,24.98,77,61,1,0,2,0,Winter
Birmingham,AL,236.5,50.48664819944598,48.986149584487535,65.5792243767313,3.0229916897506923,4.809695290858726,84.92,8.06,33,123,8,0,25,0,Winter
Bloomington,IN,164.6,35.35418282548476,34.59833795013851,71.28808864265928,4.029362880886427,3.4229916897506927,78.98,-11.92,34,137,101,0,11,0,Winter
Boise,ID,773.3,24.44797783933518,24.393351800554015,82.51274238227147,1.5052631578947369,2.5457063711911356,60.8,-18.94,144,54,178,0,0,0,Winter
Boston,MA,40.5,34.90792243767313,34.1606648199446,67.46038781163435,3.5019390581717453,3.4609418282548474,64.94,-9.94,61,92,69,0,1,0,Winter
Boulder,CO,1884,27.660554016620498,26.92797783933518,53.69806094182825,3.7698060941828255,0.7132963988919667,77,-18.94,67,8,148,0,0,0,Winter
Brooklyn,NY,32,33.66038781163435,33.146814404432135,66.74598337950138,2.100277008310249,1.578393351800554,77,-9.04,26,66,42,0,1,0,Winter
Buffalo,NY,237.7,28.916565096952908,28.554016620498615,71.47091412742382,4.2903047091412745,1.577562326869806,75.92,-14.98,17,55,91,0,0,0,Winter
Burlington,VT,27.4,22.31939058171745,22.17174515235457,76.86814404432133,3.254016620498615,0.8939058171745152,68,-27.04,43,45,76,0,0,0,Winter
Charleston,SC,14,53.80243767313019,52.445983379501385,68.12049861495845,3.2722991689750693,3.2254847645429363,87.08,19.04,77,125,2,0,14,0,Winter
Charlotte,NC,358.1,42.76360110803324,41.38504155124654,62.777562326869806,2.0941828254847645,3.037950138504155,82.94,5,73,109,19,0,3,0,Winter
Chattanooga,TN,232.6,44.41102493074792,43.393351800554015,69.65124653739612,2.786149584487535,3.176731301939058,80.96,8.6,39,108,14,0,8,0,Winter
Chicago,IL,201.8,29.304487534626038,28.894736842105264,69.89639889196675,4.1149584487534625,1.4204986149584486,68,-9.94,29,68,86,0,4,0,Winter
Cincinnati,OH,164.6,35.36016620498615,34.60387811634349,71.45650969529086,3.7055401662049863,2.2337950138504157,75.2,-12.28,19,76,56,0,6,0,Winter
Cleveland,OH,206,29.57673130193906,29.246537396121884,75.49861495844875,4.29196675900277,2.0844875346260388,71.96,-11.02,25,41,68,0,3,0,Winter
College Station,TX,69.2,56.21324099722992,55.11634349030471,72.396675900277,3.2745152354570637,2.404709141274238,85.28,12.56,53,120,4,0,16,0,Winter
Colorado Springs,CO,1884,28.308753462603878,27.545706371191137,53.43268698060942,3.9481994459833794,0.6110803324099723,82.94,-18.94,59,11,131,0,0,0,Winter
Columbia,SC,12.2,52.810692520775625,51.49307479224377,68.75678670360111,3.451246537396122,2.836842105263158,86,14,76,138,5,0,12,0,Winter
Columbus,OH,268.2,30.569473684210525,30.191135734072024,77.21191135734072,4.2490304709141276,2.2013850415512466,74.48,-12.28,27,57,86,0,1,0,Winter
Dallas,TX,228.3,48.918005540166206,47.41551246537396,66.83739612188366,3.4886426592797783,2.419667590027701,84.92,6.98,40,103,11,0,21,0,Winter
Dayton,OH,305.7,33.30038781163435,32.767313019390585,73.93157894736842,4.036288088642659,2.5529085872576176,74.48,-12.28,21,76,62,0,6,0,Winter
Denver,CO,1884,27.660554016620498,26.92797783933518,53.69806094182825,3.7698060941828255,0.7132963988919667,77,-18.94,67,8,148,0,0,0,Winter
Des Moines,IA,264.6,26.850803324099722,26.565096952908586,73.83296398891967,4.745152354570637,1.0590027700831024,75.02,-23.98,56,75,117,0,6,0,Winter
Detroit,MI,206,29.57673130193906,29.246537396121884,75.49861495844875,4.29196675900277,2.0844875346260388,71.96,-11.02,25,41,68,0,3,0,Winter
Durham,NC,56.7,44.005650969529086,42.83656509695291,66.21274238227147,2.390304709141274,2.4465373961218835,81.68,-2.38,36,69,8,0,2,0,Winter
Eugene,OR,48.5,41.506094182825485,40.42659279778393,84.17285318559557,2.8202216066481993,6.055124653739612,66.92,17.06,150,209,57,0,0,0,Winter
Everett,WA,15,43.185927977839334,41.85595567867036,79.59390581717452,4.49196675900277,1.2565096952908588,62.96,21.92,26,102,6,0,0,0,Winter
Fayetteville,AR,122.8,41.975290858725764,40.83656509695291,67.40470914127424,2.6110803324099723,2.9988919667590026,82.04,3.92,28,97,18,0,15,0,Winter
Fort Collins,CO,1863.2,26.632908587257617,25.969529085872576,65.5972299168975,2.904709141274238,0.1781163434903047,77,-22,31,7,63,0,0,0,Winter
Fort Lauderdale,FL,8.8,71.11983379501385,71.45983379501385,71.4578947368421,3.603324099722992,2.452354570637119,87.08,39.92,11,121,0,0,11,0,Winter
Fort Myers,FL,7.6,69.72570637119114,69.93074792243767,72.4398891966759,4.04792243767313,2.6049861495844877,87.98,37.94,33,131,0,0,14,0,Winter
Fort Wayne,IN,189.6,29.788144044321328,29.365650969529085,68.30027700831025,4.558725761772854,1.0227146814404433,69.08,-11.02,34,68,92,0,2,0,Winter
Fort Worth,TX,228.3,48.85418282548476,47.30193905817175,65.31385041551246,3.5371191135734072,1.931578947368421,84.92,6.98,34,97,15,0,18,0,Winter
Fresno,CA,149.1,49.367257617728534,47.69806094182825,73.63324099722992,1.6542936288088643,1.1238227146814403,80.96,24.8,49,63,0,0,2,0,Winter
Grand Rapids,MI,261.8,28.597451523545708,28.293628808864266,75.39196675900277,4.7512465373961215,1.9016620498614958,66.02,-14.98,73,97,154,0,5,0,Winter
Greensboro,NC,358.1,42.76360110803324,41.38504155124654,62.777562326869806,2.0941828254847645,3.037950138504155,82.94,5,73,109,19,0,3,0,Winter
Greenville,SC,40.2,50.222880886426594,48.85872576177285,66.84875346260388,2.51191135734072,3.6745152354570636,86,12.92,77,127,4,0,10,0,Winter
Harrisburg,PA,2,33.754127423822716,33.16620498614959,68.02853185595568,2.3313019390581715,1.6019390581717452,77,-4,40,71,61,0,1,0,Winter
Hartford,CT,52.7,34.2786703601108,33.62049861495845,65.17894736842105,2.975346260387812,3.0988919667590027,64.94,-9.94,71,120,85,0,1,0,Winter
Houston,TX,13.7,56.9187811634349,56.05817174515236,76.38254847645429,3.7590027700831024,3.3980609418282546,87.98,19.04,86,130,4,0,16,0,Winter
Huntsville,AL,232.6,45.50598337950139,44.49307479224377,70.51883656509695,2.6673130193905816,3.4454293628808865,80.96,8.06,19,111,11,0,16,0,Winter
Indianapolis,IN,305.7,35.02060941828255,34.3185595567867,71.4,4.178947368421053,3.3905817174515236,78.98,-11.92,36,137,107,0,11,0,Winter
Irvine,CA,468.2,57.61185595567867,55.34349030470914,48.42714681440443,2.1706371191135734,1.265927977839335,91.04,25.88,13,71,1,0,1,1,Winter
Jacksonville,FL,7.9,56.99490909090909,56.07272727272727,75.34363636363636,3.1351515151515152,2.4654545454545453,86,24.08,66,95,1,0,15,0,Winter
Jersey City,NJ,32,33.66038781163435,33.146814404432135,66.74598337950138,2.100277008310249,1.578393351800554,77,-9.04,26,66,42,0,1,0,Winter
Kansas City,MO,274.3,35.102,34.21111111111111,65.87861111111111,4.608611111111111,0.8980555555555555,78.98,-11.02,30,58,51,0,5,0,Winter
Knoxville,TN,271.6,43.94781163434903,42.61495844875346,65.55180055401662,2.610526315789474,2.6188365650969527,78.08,3.02,51,90,19,0,4,0,Winter
Las Vegas,NV,271.3,50.83617728531856,47.77839335180055,40.07285318559557,2.758448753462604,0.5019390581717451,82.04,10.04,5,49,4,0,2,0,Winter
Lexington,KY,164.6,38.52288088642659,37.59833795013851,67.82520775623269,2.331301939058172,2.9764542936288088,80.06,-7.06,52,106,63,0,1,0,Winter
Lincoln,NE,447.8,29.578227146814406,29.110803324099724,70.63739612188365,4.406094182825485,0.9313019390581717,77,-20.02,34,51,84,1,6,0,Winter
Little Rock,AR,88.4,46.606925207756234,45.313019390581715,68.5218836565097,2.9581717451523546,4.863434903047091,82.04,6.98,41,141,12,0,20,0,Winter
Long Beach,CA,468.2,57.61185595567867,55.34349030470914,48.42714681440443,2.1706371191135734,1.265927977839335,91.04,25.88,13,71,1,0,1,1,Winter
Los Angeles,CA,468.2,57.61185595567867,55.34349030470914,48.42714681440443,2.1706371191135734,1.265927977839335,91.04,25.88,13,71,1,0,1,1,Winter
Louisville,KY,164.6,36.08764542936288,35.310249307479225,70.58393351800554,3.770083102493075,2.7518005540166204,78.98,-11.92,26,102,79,0,8,0,Winter
Lubbock,TX,1375.6,48.20049861495845,46.02493074792244,51.954016620498614,3.8484764542936287,1.127146814404432,93.92,8.96,26,46,11,0,15,0,Winter
Madison,WI,312.1,25.057285318559558,24.90858725761773,77.75567867036011,4.054847645429363,0.9930747922437673,71.24,-23.98,24,35,75,0,2,0,Winter
Manchester,NH,40.5,34.39883656509695,33.714681440443215,68.64875346260388,3.5584487534626037,3.084764542936288,64.94,-9.94,70,121,88,0,2,0,Winter
Melbourne,FL,23.5,64.08886426592798,63.692520775623265,73.73130193905817,3.4202216066481994,2.304432132963989,87.98,23,76,106,1,0,12,0,Winter
Memphis,TN,110,43.177451523545706,42.121883656509695,69.51440443213296,3.534903047091413,4.69224376731302,80.06,-5.98,44,115,21,0,27,0,Winter
Miami,FL,2.4,71.755567867036,72.54847645429363,76.28753462603878,3.871191135734072,2.086703601108033,87.98,39.92,13,108,0,0,10,0,Winter
Milwaukee,WI,201.8,28.595457063711912,28.218836565096954,71.31052631578947,4.740443213296399,1.5700831024930748,69.98,-13,40,102,127,0,10,0,Winter
Minneapolis,MN,355,19.694681440443212,19.6398891966759,76.49196675900276,3.466481994459834,0.9246537396121883,60.98,-23.98,38,33,152,0,1,0,Winter
Mobile,AL,6.7,56.18731301939058,55.09972299168975,71.03684210526316,3.3709141274238226,4.760387811634349,82.94,17.06,66,130,3,0,25,0,Winter
Nashville,TN,176.2,43.89047091412743,42.93905817174515,70.99861495844875,3.326869806094183,2.9759002770083103,80.96,6.08,18,104,16,0,16,0,Winter
New Haven,CT,32,34.04731301939058,33.42382271468144,66.23739612188366,2.8421052631578947,3.1501385041551244,64.94,-9.94,70,119,80,0,2,0,Winter
New Orleans,LA,1.2,58.47346260387812,57.54293628808864,73.0994459833795,4.505817174515236,2.5950138504155125,82.94,21.02,77,73,4,0,15,0,Winter
New York,NY,32,33.684321329639886,33.1578947368421,67.61495844875347,2.389196675900277,1.7105263157894737,77,-9.94,34,64,49,0,1,0,Winter
Newark,NJ,32,33.66038781163435,33.146814404432135,66.74598337950138,2.100277008310249,1.578393351800554,77,-9.04,26,66,42,0,1,0,Winter
Norfolk,VA,4,43.626703601108034,42.59833795013851,68.32160664819945,2.545983379501385,1.790027700831025,82.4,-9.04,20,47,9,0,0,0,Winter
Oakland,CA,37.2,48.68365650969529,47.0775623268698,77.66675900277008,2.3149584487534627,1.2977839335180055,78.8,24.98,77,61,1,0,2,0,Winter
Oklahoma City,OK,310,42.8378947368421,41.21329639889197,59.38227146814405,4.890858725761773,0.9914127423822715,93.92,1.94,32,66,25,0,13,0,Winter
Olympia,WA,15,43.3021052631579,41.97783933518006,80.13905817174515,4.72797783933518,2.052354570637119,62.96,21.92,26,102,6,0,0,0,Winter
Omaha,NE,249.3,28.825817174515237,28.44875346260388,70.64099722991689,4.3052631578947365,1.0662049861495844,76.46,-20.02,40,70,108,1,7,0,Winter
Orlando,FL,23.5,63.161272727272724,62.65151515151515,73.25393939393939,3.3875757575757577,2.1903030303030304,87.98,23,85,93,0,0,9,0,Winter
Pensacola,FL,6.7,55.8008864265928,54.70637119113574,71.86149584487535,3.209141274238227,4.428808864265928,82.94,17.06,69,121,1,0,28,0,Winter
Philadelphia,PA,2,33.90221606648199,33.337950138504155,66.7983379501385,2.1379501385041553,1.503601108033241,77,-9.04,29,68,42,0,1,0,Winter
Phoenix,AZ,311.2,53.851301939058175,51.42936288088643,48.89501385041551,2.1049861495844877,0.3307479224376731,89.96,15.08,4,33,7,0,3,0,Winter
Pittsburgh,PA,378,34.990692520775625,34.2797783933518,69.15207756232687,2.8033240997229916,2.995290858725762,78.08,-14.98,46,150,128,0,2,0,Winter
Plano,TX,228.3,49.12393351800554,47.634349030470915,67.04598337950138,3.272853185595568,2.4329639889196675,84.92,8.6,31,82,6,0,11,0,Winter
Portland,ME,40.5,31.374238227146815,30.933518005540165,65.69418282548476,4.036288088642659,2.663157894736842,75.02,-14.98,57,109,109,1,2,0,Winter
Portland,OR,16.8,40.59612188365651,39.67036011080332,86.58559556786703,1.3825484764542937,5.388919667590027,64.94,8.96,104,235,31,0,1,0,Winter
Queens,NY,32,33.66038781163435,33.146814404432135,66.74598337950138,2.100277008310249,1.578393351800554,77,-9.04,26,66,42,0,1,0,Winter
Raleigh,NC,56.7,44.005650969529086,42.83656509695291,66.21274238227147,2.390304709141274,2.4465373961218835,81.68,-2.38,36,69,8,0,2,0,Winter
Reno,NV,37.2,44.921108033241,43.48199445983379,73.8218836565097,2.093074792243767,1.4337950138504154,75.2,8.96,52,64,24,0,1,0,Winter
Richmond,VA,15.2,42.85634349030471,41.825484764542935,67.2398891966759,2.4493074792243767,1.4565096952908587,82.4,-9.04,18,35,12,0,1,0,Winter
Rochester,NY,78,28.95595567867036,28.573407202216067,70.37146814404433,3.9950138504155124,1.6177285318559556,75.92,-11.02,19,43,79,0,0,0,Winter
Rockville,MD,2,38.61313019390582,37.7617728531856,65.8163434903047,2.4842105263157896,2.8141274238227147,82.94,-4,46,112,53,0,4,0,Winter
Sacramento,CA,37.2,48.68365650969529,47.0775623268698,77.66675900277008,2.3149584487534627,1.2977839335180055,78.8,24.98,77,61,1,0,2,0,Winter
Saint Louis,MO,102.4,37.421939058171745,36.66759002770083,72.13545706371191,3.9831024930747922,2.5041551246537397,80.06,-18.94,41,105,43,0,10,0,Winter
Saint Paul,MN,355,19.694681440443212,19.6398891966759,76.49196675900276,3.466481994459834,0.9246537396121883,60.98,-23.98,38,33,152,0,1,0,Winter
Saint Petersburg,FL,23.5,62.518725761772856,61.88919667590028,72.41024930747922,3.2141274238227147,2.165927977839335,89.06,23,100,104,1,0,14,0,Winter
Salem,OR,16.8,40.59612188365651,39.67036011080332,86.58559556786703,1.3825484764542937,5.388919667590027,64.94,8.96,104,235,31,0,1,0,Winter
Salt Lake City,UT,1804.7,31.10448753462604,30.565096952908586,65.47396121883656,2.2795013850415513,0.4332409972299169,62.06,-5.98,35,21,56,0,0,0,Winter
San Antonio,TX,35.1,55.29329639889197,53.797783933518005,65.94487534626039,3.3005540166204987,1.2210526315789474,90.5,15.98,63,112,6,0,11,0,Winter
San Diego,CA,468.2,57.99828254847645,55.59833795013851,44.61052631578947,2.4376731301939056,0.7795013850415512,91.04,25.88,13,60,1,0,1,1,Winter
San Francisco,CA,37.2,49.35080332409972,47.70914127423823,76.8595567867036,2.3002770083102493,2.078670360110803,78.8,24.08,65,62,0,0,3,0,Winter
San Jose,CA,46.3,48.8985595567867,47.29639889196676,77.51385041551247,2.3058171745152354,1.542382271468144,78.8,24.98,88,75,1,0,2,0,Winter
Santa Barbara,CA,54.6,58.97656509695291,57.21052631578947,55.96897506925208,0.8645429362880886,2.1329639889196677,89.96,35.06,21,68,0,0,0,0,Winter
Santa Rosa,CA,37.2,49.35080332409972,47.70914127423823,76.8595567867036,2.3002770083102493,2.078670360110803,78.8,24.08,65,62,0,0,3,0,Winter
Seattle,WA,15,43.3021052631579,41.97783933518006,80.13905817174515,4.72797783933518,2.052354570637119,62.96,21.92,26,102,6,0,0,0,Winter
Shreveport,LA,110.6,49.58764542936288,48.16897506925208,68.59972299168975,2.959556786703601,2.950692520775623,84.38,8.6,16,28,0,0,5,0,Winter
Sioux Falls,SD,532.8,22.238614958448753,22.177285318559555,80.08753462603879,5.469806094182825,0.6337950138504155,73.04,-27.94,57,37,124,0,0,0,Winter
Spokane,WA,646,30.789,30.544444444444444,83.08083333333333,2.042777777777778,2.7969444444444442,64.94,-1.48,39,34,24,0,0,0,Winter
Springfield,MO,412.4,39.97285318559557,38.9224376731302,67.65512465373962,4.003324099722992,2.7191135734072023,82.04,-0.04,33,121,51,0,15,0,Winter
Syracuse,NY,144.8,27.595,27.272222222222222,71.61944444444444,3.8961111111111113,2.4516666666666667,69.98,-16.06,86,120,214,0,0,0,Winter
Tacoma,WA,14.3,42.78554016620499,41.54847645429363,78.81218836565097,3.9013850415512463,1.891135734072022,62.96,19.4,47,185,13,0,1,0,Winter
Tampa,FL,23.5,62.536500000000004,62.022222222222226,74.95805555555556,3.0808333333333335,2.2247222222222223,87.98,23,79,90,1,0,12,0,Winter
Tucson,AZ,776.9,51.925152354570635,49.04432132963989,40.99002770083103,2.7465373961218837,0.8160664819944599,87.98,17.96,6,64,8,0,2,0,Winter
Tulsa,OK,299.9,41.60880886426593,40.28808864265928,61.66592797783934,4.28393351800554,1.697229916897507,86,1.04,24,88,25,1,9,0,Winter
Vancouver,WA,16.8,40.59612188365651,39.67036011080332,86.58559556786703,1.3825484764542937,5.388919667590027,64.94,8.96,104,235,31,0,1,0,Winter
Virginia Beach,VA,4,45.04925207756233,43.91412742382271,69.47202216066482,3.6124653739612187,2.1617728531855955,82.4,6.98,34,109,27,0,0,0,Winter
Washington,DC,2,36.5,35.717451523545705,64.53795013850416,3.021606648199446,2.434903047091413,80.06,-4,48,117,74,0,2,0,Winter
West Palm Beach,FL,2.7,70.15501385041551,70.39889196675901,72.05817174515235,4.0484764542936285,2.710803324099723,87.98,37.94,26,136,0,0,14,0,Winter
